town,id,firm,retailer,fascia,store_name,add_one,add_two,locality,postcode,long_wgs,lat_wgs,bng_e,bng_n,pqi,open_date,close_date,size_band,size_sqft,size_sqm,rev,emp
London,1010007524,Costco,Costco,Costco,Costco Chingford,1 Shadbolt Avenue,Off Harbet Road,South Chingford,E4 8GP,-0.031683246,51.60921095,536394.04,191876.77,Rooftop geocoded by Geolytix,0,0,"30,138 ft2 > (2,800 m2)","Over 30,138","Over 2,800",84291035.71,224
London,1010007526,Costco,Costco,Costco,Costco Croydon,Imperial Way,,Waddon,CR0 4RR,-0.117691018,51.35391793,531168.75,163330.58,Rooftop geocoded by Geolytix,0,0,"30,138 ft2 > (2,800 m2)","Over 30,138","Over 2,800",84291035.71,224
London,1010007533,Costco,Costco,Costco,Costco Hayes,Western International Park,Hayes Road,North Hyde,UB2 5XX,-0.402695387,51.49699125,510977.26,178770.43,Rooftop geocoded by Geolytix,0,0,"30,138 ft2 > (2,800 m2)","Over 30,138","Over 2,800",84291035.71,224
London,1010014094,Costco,Costco,Costco,Costco Wembley,30 Second Way,,Tokyngton,HA9 0YJ,-0.272270843,51.55624621,519874.8066,185565.5182,Rooftop geocoded by Geolytix,20160899,0,"30,138 ft2 > (2,800 m2)","Over 30,138","Over 2,800",84291035.71,224
London,1010000869,Asda,Asda,Asda Living,Asda Living Tottenham,Unit 4 Tottenham Hale Retail Park,Broad Lane,Tottenham Hale,N15 4QD,-0.060961257,51.58722219,534431.71,189377.34,Rooftop geocoded by Geolytix,0,0,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)","Between 15,069 and 30,138","Between 1,400 and 2,800",31355753.65,239
London,1010000913,Asda,Asda,Asda Supercentre,Asda Southgate Circus Supercentre,130 Chase Side,,Southgate,N14 5PW,-0.131291775,51.6343545,529425.65,194491.82,Rooftop geocoded by Geolytix,0,0,"30,138 ft2 > (2,800 m2)","Over 30,138","Over 2,800",31355753.65,239
London,1010000963,Asda,Asda,Asda Supermarket,Asda Mitcham Supermarket,St James Estate Bond Road,Mitcham,Mitcham,CR4 3EB,-0.16829079,51.40743839,527496.88,169192.95,Rooftop geocoded by Geolytix,0,0,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)","Between 15,069 and 30,138","Between 1,400 and 2,800",31355753.65,239
London,1010000968,Asda,Asda,Asda Supermarket,Asda Bexleyheath Crook Log Supermarket,13-15 Crook Log,Bexleyheath,Bexleyheath,DA6 8EQ,0.130133391,51.45833044,548086.56,175413.04,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010000987,Asda,Asda,Asda Supermarket,Asda Walthamstow Supermarket,19 Selbourne Walk Shopping Centre,Walthamstow,Walthamstow,E17 7LS,-0.024518778,51.58293608,536969.07,188968.3,Rooftop geocoded by Geolytix,0,0,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)","Between 15,069 and 30,138","Between 1,400 and 2,800",31355753.65,239
London,1010000988,Asda,Asda,Asda Supermarket,Asda Stamford Hill Supermarket,158 Clapton Common,Stamford Hill,Stamford Hill,E5 9AG,-0.071037681,51.57360689,533773.63,187844.8,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010000992,Asda,Asda,Asda Supermarket,Asda Ponders End Supermarket,67 High Street,Ponders End,Ponders End,EN3 4EF,-0.045908721,51.64151541,535313,195442.73,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010000997,Asda,Asda,Asda Supermarket,Asda South Harrow Supermarket,469-491 Northolt Road,South Harrow,South Harrow,HA2 8JN,-0.360880583,51.55776485,513728.37,185593.03,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010001008,Asda,Asda,Asda Supermarket,Asda Kingston On Thames Supermarket,142 London Road,Kingston Upon Thames,Norbiton,KT2 6QL,-0.290101279,51.41123105,519015.37,169410.03,Rooftop geocoded by Geolytix,0,0,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)","Between 15,069 and 30,138","Between 1,400 and 2,800",31355753.65,239
London,1010001042,Asda,Asda,Asda Supermarket,Asda Tottenham High Road Supermarket,490 High Road,Tottenham,Bruce Grove,N17 9JF,-0.069119333,51.59366484,533847.65,190078.83,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010001084,Asda,Asda,Asda Supermarket,Asda Peckham Supermarket,Rye Lane,Peckham,Peckham Rye,SE15 4NB,-0.067399209,51.4675243,534337.32,176054.78,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010001112,Asda,Asda,Asda Supermarket,Asda Twickenham Supermarket,Ivy Bridge Retail Park,Twickenham,Isleworth,TW7 7DY,-0.331988378,51.45929095,515980.75,174687.4,Rooftop geocoded by Geolytix,0,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010012634,Asda,Asda,Asda Supermarket,Asda Deptford Supermarket,5-9 Deptford High Street,,New Cross,SE8 4AD,-0.026485864,51.47538526,537155.4,177004.72,Rooftop geocoded by Geolytix,20150702,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010012635,Asda,Asda,Asda Supermarket,Asda Wealdstone Supermarket,35-40 High Street,,Wealdstone,HA3 7AE,-0.335520456,51.5942349,515394.03,189688.47,Rooftop geocoded by Geolytix,20150799,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010013789,Asda,Asda,Asda Supermarket,Asda Stepney Green Supermarket,Anchor Retail Park,123 Mile End Road,Stepney,E1 4UJ,-0.050142904,51.52207541,535374.27,182152.75,Rooftop geocoded by Geolytix,20160222,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010013794,Asda,Asda,Asda Supermarket,Asda Stonecot Supermarket,Stonecot Hill,,Lower Morden,SM3 9HB,-0.211285833,51.38542539,524566.4084,166671.1921,Rooftop geocoded by Geolytix,20160224,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010014090,Asda,Asda,Asda Supermarket,Asda Lewisham Supermarket,Unit 1 and 2 Thurston Point,Thurston Road,Lewisham,SE13 7SD,-0.016817439,51.46523905,537857.3621,175894.5909,Rooftop geocoded by Geolytix,20161017,0,"3,013 < 15,069 ft2 (280 < 1,400 m2)","Between 3,013 and 15,069","Between 280 and 1,400",31355753.65,239
London,1010000617,Asda,Asda,Asda Superstore,Asda Wallington Superstore,Marlow Way,Croydon,Beddington,CR0 4XS,-0.130176509,51.37685924,530234.36,165859.44,Rooftop geocoded by Geolytix,0,0,"30,138 ft2 > (2,800 m2)","Over 30,138","Over 2,800",31355753.65,239
